,Strike,TTM,Vol
0,144.43000000001362,1.0,0.09253
1,144.9000000000132,1.0,0.09125
2,143.93000000001408,1.0,0.09783
3,145.31000000001282,1.0,0.092
4,143.41000000001455,1.0,0.10259
5,144.29000000001375,7.0,0.08275
6,145.38000000001276,7.0,0.08144
7,143.10000000001483,7.0,0.08766
8,146.38000000001185,7.0,0.08288000000000001
9,141.86000000001596,7.0,0.09300000000000001
10,144.1300000000139,14.0,0.08371
11,145.69000000001247,14.0,0.08221
12,142.43000000001544,14.0,0.08911
13,147.13000000001117,14.0,0.08399
14,140.6100000000171,14.0,0.09587
15,143.98000000001403,21.0,0.09018000000000001
16,146.03000000001217,21.0,0.08836000000000001
17,141.74000000001607,21.0,0.09567
18,147.89000000001047,21.0,0.08919
19,139.4000000000182,21.0,0.10244999999999999
20,143.7900000000142,30.0,0.08715999999999999
21,146.17000000001204,30.0,0.08558
22,141.20000000001656,30.0,0.09287000000000001
23,148.34000000001006,30.0,0.08685000000000001
24,138.44000000001907,30.0,0.10037000000000001
25,143.17000000001477,60.0,0.09291
26,146.7500000000115,60.0,0.09122999999999999
27,139.2800000000183,60.0,0.09961
28,150.08000000000848,60.0,0.09293
29,135.06000000002214,60.0,0.10936
30,142.56000000001532,90.0,0.09333999999999999
31,146.96000000001132,90.0,0.09176999999999999
32,137.79000000001966,90.0,0.10053000000000001
33,151.09000000000756,90.0,0.09356999999999999
34,132.63000000002435,90.0,0.11077
35,141.95000000001588,120.0,0.09301
36,147.02000000001127,120.0,0.09163
37,136.51000000002082,120.0,0.10026
38,151.8300000000069,120.0,0.09378
39,130.6000000000262,120.0,0.11084
40,141.35000000001642,150.0,0.09279
41,147.00000000001128,150.0,0.09159
42,135.31000000002192,150.0,0.10025
43,152.45000000000633,150.0,0.09420999999999999
44,128.70000000002793,150.0,0.11167999999999999
45,140.76000000001696,180.0,0.09217
46,146.90000000001137,180.0,0.0911
47,134.21000000002292,180.0,0.09971999999999999
48,152.88000000000594,180.0,0.09398
49,127.04000000002809,180.0,0.11152
50,138.99000000001857,270.0,0.09115000000000001
51,146.41000000001182,270.0,0.09058
52,131.20000000002565,270.0,0.09891
53,153.85000000000505,270.0,0.0943
54,122.62000000002583,270.0,0.11163000000000001
55,137.16000000002023,365.0,0.09067
56,145.73000000001244,365.0,0.09077
57,128.25000000002834,365.0,0.09917
58,154.74000000000424,365.0,0.09615
59,118.45000000002369,365.0,0.11263999999999999
60,133.82000000002327,540.0,0.08759
61,143.7800000000142,540.0,0.08831
62,123.70000000002638,540.0,0.09562
63,154.64000000000433,540.0,0.09457
64,112.55000000002067,540.0,0.10962999999999999
65,130.29000000002648,730.0,0.08595000000000001
66,141.50000000001629,730.0,0.0872
67,119.13000000002404,730.0,0.09391
68,154.22000000000472,730.0,0.0946
69,106.71000000001769,730.0,0.10918
70,123.7400000000264,1095.0,0.08267
71,136.5300000000208,1095.0,0.08462
72,111.32000000002004,1095.0,0.09097
73,151.98000000000675,1095.0,0.09373
74,97.41000000001293,1095.0,0.10753
75,117.56000000002324,1460.0,0.08170999999999999
76,131.75000000002515,1460.0,0.08467000000000001
77,104.18000000001639,1460.0,0.09031
78,150.19000000000838,1460.0,0.09615
79,89.10000000000868,1460.0,0.10859999999999999
80,111.68000000002023,1825.0,0.0808
81,126.82000000002797,1825.0,0.08429
82,97.70000000001308,1825.0,0.08968999999999999
83,147.81000000001055,1825.0,0.09783
84,81.87000000000498,1825.0,0.10955999999999999
85,106.1400000000174,2190.0,0.08129
86,121.50000000002525,2190.0,0.08234
87,91.1100000000097,2190.0,0.09519
88,142.88000000001503,2190.0,0.09492
89,72.97000000000043,2190.0,0.1234
90,100.8800000000147,2555.0,0.08159000000000001
91,116.41000000002265,2555.0,0.08112
92,85.20000000000668,2555.0,0.09898
93,138.06000000001941,2555.0,0.09293
94,65.95999999999684,2555.0,0.1318
95,86.75000000000747,3650.0,0.08388999999999999
96,102.75000000001566,3650.0,0.08114
97,70.09999999999896,3650.0,0.10901
98,125.09000000002709,3650.0,0.09109
99,49.079999999998805,3650.0,0.15633
100,68.65999999999822,5475.0,0.09905
101,85.69000000000693,5475.0,0.09022000000000001
102,51.51999999999832,5475.0,0.12235
103,110.91000000001983,5475.0,0.09902
104,32.73000000000206,5475.0,0.17401
105,53.66999999999789,7300.0,0.09905
106,69.57999999999869,7300.0,0.09147999999999999
107,39.00000000000081,7300.0,0.11554
108,93.82000000001109,7300.0,0.09966
109,24.020000000000955,7300.0,0.16477
110,41.96000000000022,9125.0,0.09905
111,56.019999999997424,9125.0,0.0916
112,29.530000000001817,9125.0,0.11401
113,78.76000000000339,9125.0,0.10024
114,17.679999999999964,9125.0,0.16046
115,32.81000000000204,10950.0,0.09905
116,44.97999999999962,10950.0,0.09172000000000001
117,22.44000000000071,10950.0,0.11271
118,65.74999999999673,10950.0,0.10077
119,13.119999999999765,10950.0,0.15677
